"","political_final"
"272","profit"
"273","policy-making"
"274","decisionmaking"
"275","anarchy"
"276","liberalism"
"277","engrained"
"278","executive"
"279","pols"
"280","colorblind"
"281","humorless"
"282","downshifting"
"283","psychodrama"
"284","balkanized"
"285","self-perpetuating"
"286","internalised"
"287","reflation"
"288","kafkaesque"
"289","nontransparent"
"290","postindustrial"
"291","unsustainability"
"292","democrat"
"293","atomized"
"294","overregulated"
"295","self-regulating"
"296","oligarchies"
"297","nonideological"
"298","hidebound"
"299","wrongness"
"300","dispassion"
"301","tyrannies"
"302","heteronormative"
"303","soviet"
"304","depersonalized"
"305","corporatism"
"306","covenantal"
"307","shapers"
"308","microbiota"
"309","originalism"
"310","solipsistic"
"311","seven-man"
"312","presidency"
"313","standard-setting"
"314","empowerment"
"315","eviscerated"
"316","sovereignty"
"317","autocracy"
"318","146-nation"
"319","president"
"320","constitutions"
"321","imperialism"
"322","restoration"
"323","privatization"
"324","sly"
"325","apolitical"
"326","interpol"
"327","preside"
"328","france"
"329","mastermind"
"330","elites"
"331","racketeer"
"332","federal"
"333","australia"
"334","campaigner"
"335","cunning"
"336","contract"
"337","administrative"
"338","confederation"
"339","ombudsman"
"340","generalissimo"
"341","position"
"342","officer"
"343","wily"
"344","senator"
"345","ceo"
"346","democrats"
"347","financier"
"348","autocratic"
"349","secede"
"350","anarchist"
"351","timocracy"
"352","manipulative"
"353","civilization"
"354","globalization"
"355","posturing"
"356","artifice"
"357","suzerainty"
"358","bloc"
"359","politicize"
"360","shrewd"
"361","multinational"
"362","warden"
"363","politricks"
"364","privatize"
"365","federalization"
"366","dishonest"
"367","tenderpreneur"
"368","govern"
"369","authority"
"370","treasurer"
"371","separatism"
"372","statesperson"
"373","expert"
"374","chancellor"
"375","economist"
"376","guile"
"377","commissioner"
"378","impolitic"
"379","neocolonialism"
"380","papacy"
"381","politik"
"382","chomsky"
"383","religio"
"384","hegelian"
"385","theo"
"386","quietism"
"387","parliamentary"
"388","circumlocution"
"389","roguery"
"390","sayers"
"391","moralize"
"392","bonapartist"
"393","religionist"
"394","reactionary"
"395","pragmatics"
"396","egotistic"
"397","raison"
"398","contestation"
"399","enlightened"
"400","poli"
"401","viler"
"402","intelligentsia"
"403","jurisdiction"
"404","hausa"
"405","cabal"
"406","manipulation"
"407","shrewdness"
"408","controller"
"409","official"
"410","corporatist"
"411","wizard"
"412","socialist"
"413","supervision"
"414","dominion"
"415","organisation"
"416","skillful"
"417","cleverness"
"418","statesman"
"419","employer"
"420","undeceive"
"421","magician"
"422","organization"
"423","rebellion"
"424","mislead"
"425","reich"
"426","civility"
"427","marxism"
"428","cosmopolitanism"
"429","neoimperialism"
"430","fedzilla"
"431","leader"
"432","quango"
"433","extortion"
"434","misleader"
"435","patronage"
"436","nepotism"
"437","crossbencher"
"438","mandarinate"
"439","graft"
"440","stateswoman"
"441","scienda"
"442","embezzlement"
"443","statocracy"
"444","presider"
"445","politick"
"446","ocracy"
"447","policial"
"448","exclusionism"
"449","reformable"
"450","coopt"
"451","egoistical"
"452","bureaucratize"
"453","laic"
"454","reactionism"
"455","liberalist"
"456","popularism"
"457","confederal"
"458","establishmentarian"
"459","delegitimation"
"460","confessionalism"
"461","plebiscitary"
"462","truckling"
"463","demagogical"
"464","ethnocentric"
"465","duumvirate"
"466","centrism"
"467","coarsen"
"468","ideologic"
"469","peoplehood"
"470","repub"
"471","liberalness"
"472","technocracy"
"473","revanchist"
"474","conscionable"
"475","balkanise"
"476","inveterately"
"477","christianism"
"478","mobocracy"
"479","contradictive"
"480","media"
"481","the"
"482","debates"
"483","war"
"484","covid"
"485","arr"
"486","grandstanding"
"487","factional"
"488","life"
"489","views"
"490","environmentalism"
"491","sports"
"492","authoritarianism"
"493","politicization"
"494","country"
"495","economic"
"496","govt"
"497","negotiation"
"498","corruption"
"499","clans"
"500","leadership"
"501","latin"
"502","group"
"503","arrr"
"504","gender"
"505","lordship"
"506","sjw"
"507","gossip"
"508","work"
"509","parties"
"510","geography"
"511","lifestyle"
"512","all"
"513","jewish"
"514","whatever"
"515","pope"
"516","administration"
"517","senate"
"518","socio"
"519","myopic"
"520","revenue"
"521","pervade"
"522","numbed"
"523","clannish"
"524","fatness"
"525","monkish"
"526","morass"
"527","timorous"
"528","factious"
"529","attuned"
"530","disentangle"
"531","grayness"
"532","delving"
"533","blandness"
"534","etheric"
"535","ingrained"
"536","indigent"
"537","expediency"
"538","putrefying"
"539","comity"
"540","calcified"
"541","disentangling"
"542","disordered"
"543","manifesting"
"544","politico"
"545","monarchies"
"546","piercer"
"547","polemics"
"548","fragmenting"
"549","clinton"
"550","squishy"
"551","fiefdom"
"552","comptroller"
"553","trump"
"554","politics"
"555","policy"
"556","laws"
"557","law"
"558","politicians"
"559","senate"
"560","government"
"561","president"
"562","democrat"
"563","parties"
"564","trump"
"565","state"
"566","federal"
"567","legislation"
"568","democrats"
"569","majority"
